ID  ? t  f
1 1 5 0
2 1 5 0
3 1 5 0
4 1 5 0
5 1 5 0
6 1 5 0
7 1 5 0
8 1 5 0
9 0 0 5
10 1 5 0
11 1 5 0
12 1 5 0
13 0 0 5
14 0 1 4
15 1 5 0
16 0 0 5
17 0 0 5
18 1 4 1
19 1 6 0
20 0 2 3
21 1 5 0
22 1 5 0
23 1 5 0
24 0 0 5
25 1 5 0
26 1 5 0
27 0 0 5
28 1 6 0
29 1 5 0
30 0 1 4
31 0 1 4
32 0 2 3
33 1 6 0
34 1 5 0
35 1 5 0
36 1 5 0
37 0 0 5
38 1 5 0
39 0 1 4
40 0 0 5
41 1 5 0
42 1 5 0
43 1 4 1
44 1 5 0
45 0 0 6
46 0 0 5
47 1 5 0
48 0 2 3
49 0 0 5
50 1 5 0
51 1 5 0
52 1 5 0
53 1 5 0
54 0 2 3
55 0 0 6
56 1 5 0
57 0 0 5
58 0 0 6
59 0 1 4
60 1 5 0
61 1 5 0
62 0 0 5
63 0 2 3
64 0 0 5
65 0 1 4
66 0 1 4
67 0 0 5
68 1 5 0
69 1 5 0
70 1 4 1
71 0 0 5
72 1 5 0
73 0 0 5
74 1 6 0
75 0 0 5
76 1 5 0
77 0 1 4
78 0 0 4
79 1 5 0
80 1 5 0
81 0 2 3
82 0 1 4
83 1 5 0
84 0 0 5
85 1 5 0
86 0 0 5
87 0 2 3
88 1 5 0
89 1 5 0
90 1 5 0
91 0 0 5
92 1 5 0
93 1 5 0
94 1 4 1
95 1 5 0
96 0 2 3
97 0 0 4
98 0 1 4
99 1 5 0
100 1 5 0
101 1 6 0
102 0 1 4
103 1 5 0
104 1 5 0
105 0 2 3
106 1 4 1
107 1 5 0
108 1 5 0
109 1 5 0
110 1 5 0
111 0 0 5
112 1 5 0
113 1 5 0
114 1 5 0
115 1 5 0
116 1 5 0
117 0 1 4
118 1 5 0
119 1 5 0
120 1 5 0
121 0 1 4
122 1 5 0
123 0 0 5
124 1 6 0
125 0 0 5
126 1 5 0
127 1 5 0
128 0 0 5
129 1 5 0
130 1 3 2
